station_id,year,tdpa
687a5e5d9b36b04cf0b80817,2013,6348
687a5e5d9b36b04cf0b80817,2012,7731
687a5e5d9b36b04cf0b80817,2011,3689
687a5e5d9b36b04cf0b80817,2010,2301
687a5e5d9b36b04cf0b80818,2024,9131
687a5e5d9b36b04cf0b80818,2023,8917
687a5e5d9b36b04cf0b80818,2022,7970
687a5e5d9b36b04cf0b80818,2021,6512
687a5e5d9b36b04cf0b80818,2020,6021
687a5e5d9b36b04cf0b80818,2019,5877
687a5e5d9b36b04cf0b80818,2018,6311
687a5e5d9b36b04cf0b80818,2017,6078
687a5e5d9b36b04cf0b80818,2016,5346
687a5e5d9b36b04cf0b80818,2015,5145
687a5e5d9b36b04cf0b80818,2014,6944
687a5e5d9b36b04cf0b80818,2013,6559
687a5e5d9b36b04cf0b80818,2012,7731
687a5e5d9b36b04cf0b80818,2011,3689
687a5e5d9b36b04cf0b80818,2010,2301
687a5e5d9b36b04cf0b80819,2024,3060
687a5e5d9b36b04cf0b80819,2023,2813
687a5e5d9b36b04cf0b80819,2022,2705
687a5e5d9b36b04cf0b80819,2021,2387
687a5e5d9b36b04cf0b80819,2020,1884
687a5e5d9b36b04cf0b80819,2019,2285
687a5e5d9b36b04cf0b80819,2018,2145
687a5e5d9b36b04cf0b80819,2017,2139
687a5e5d9b36b04cf0b80819,2016,2060
687a5e5d9b36b04cf0b80819,2015,1767
687a5e5d9b36b04cf0b80819,2014,1722
687a5e5d9b36b04cf0b80819,2013,1534
687a5e5d9b36b04cf0b80819,2012,1517
687a5e5d9b36b04cf0b80819,2011,1422
687a5e5d9b36b04cf0b80819,2010,1443
687a5e5d9b36b04cf0b80be1,2024,63185
687a5e5d9b36b04cf0b80be1,2023,57384
687a5e5d9b36b04cf0b80be1,2022,57146
687a5e5d9b36b04cf0b80be3,2024,62742
687a5e5d9b36b04cf0b80be3,2023,54994
687a5e5d9b36b04cf0b80be3,2022,54313
687a5e5d9b36b04cf0b80be5,2024,30896
687a5e5d9b36b04cf0b80be5,2023,26022
687a5e5d9b36b04cf0b80be5,2022,28289
687a5e5d9b36b04cf0b80be7,2024,30564
687a5e5d9b36b04cf0b80be7,2023,26858
687a5e5d9b36b04cf0b80be7,2022,29197
687a5e5d9b36b04cf0b80be9,2024,31990
687a5e5d9b36b04cf0b80be9,2023,30453
687a5e5d9b36b04cf0b80be9,2022,30339
687a5e5d9b36b04cf0b80beb,2024,33407
687a5e5d9b36b04cf0b80beb,2023,31706
687a5e5d9b36b04cf0b80beb,2022,29048
687a5e5d9b36b04cf0b80bed,2024,23676
687a5e5d9b36b04cf0b80bed,2023,22417
