caseta_mongo_id,state_slug,caseta_name,cve,carretera,ruta,movimiento,tdpa_2024,lat,lon,rubro
68798c739b36b04cf0b7bfc1,hidalgo,Calpulalpan,243-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Calpulalpan,34,19.619447,-98.549587,casetas
68798c739b36b04cf0b7c11d,hidalgo,San Alejo (Tejocotal),204-01,Ent. Tulancingo-Venta Grande,MEX-132D,Ent. Tulancingo-Venta Grande,10206,20.147472,-98.285748,casetas
68798c739b36b04cf0b7c14c,hidalgo,Atlacomulco,230-01,Arco Norte Cd. México,MEX-M40D,Acambay-Atlacomulco,610,19.91186,-99.852669,casetas
68798c739b36b04cf0b7c15b,hidalgo,Acambay,231-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Acambay,705,19.923426,-99.844231,casetas
68798c739b36b04cf0b7c16d,hidalgo,Jilotepec,233-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Jilotepec,385,19.976583,-99.531517,casetas
68798c739b36b04cf0b7c17b,hidalgo,Querétaro,234-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Querétaro,3417,19.998714,-99.487788,casetas
68798c739b36b04cf0b7c189,hidalgo,Tula II,235-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Tula II,56,20.070334,-99.368273,casetas
68798c739b36b04cf0b7c197,hidalgo,Tula I,236-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Tula I,240,20.09811,-99.286109,casetas
68798c739b36b04cf0b7c1a5,hidalgo,Atitalaquia,237-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Atitalaquia,24,20.065051,-99.218685,casetas
68798c739b36b04cf0b7c1b3,hidalgo,Apaxco,238-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Apaxco,41,19.998913,-99.139612,casetas
68798c739b36b04cf0b7c1c1,hidalgo,Ajoloapan,239-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Ajoloapan,27,19.955851,-99.055385,casetas
68798c739b36b04cf0b7c1cf,hidalgo,Pachuca,240-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Pachuca,360,19.927508,-98.891426,casetas
68798c739b36b04cf0b7c1dd,hidalgo,Tulancingo,241-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Tulancingo,213,19.832525,-98.700135,casetas
68798c739b36b04cf0b7c1f5,hidalgo,Sanctórum,244-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-Sanctórum,240,19.518577,-98.471678,casetas
68798c739b36b04cf0b7c203,hidalgo,San Martín Texmelucan,245-01,Arco Norte Cd. México,MEX-M40D,Atlacomulco-San Martín Texmelucan,768,19.301809,-98.409588,casetas
68798c739b36b04cf0b7c213,hidalgo,Nuevo Necaxa,248,Tejocotal-Nuevo Necaxa,MEX-130D,Tejocotal-Nuevo Necaxa,2024,20.186559,-98.029829,casetas
68798c739b36b04cf0b7bfd2,jalisco,Acatlán de Juárez,053,Acatlán de Juaréz-El Trapiche,MEX-054D,Acatlán-Atoyac,14971,20.373443,-103.576317,casetas
68798c739b36b04cf0b7bfd3,jalisco,Sayula,054,Acatlán de Juaréz-El Trapiche,MEX-054D,Atoyac-Cd. Guzmán,16199,19.933235,-103.530027,casetas
68798c739b36b04cf0b7bfd4,jalisco,Sayula Remota,055,Acatlán de Juaréz-El Trapiche,MEX-054D,Sayula-Cd. Guzmán,2048,19.879111,-103.519314,casetas
68798c739b36b04cf0b7bfd5,jalisco,San Marcos,056,Acatlán de Juaréz-El Trapiche,MEX-054D,Cd. Guzmán-El Trapiche,13280,19.409129,-103.527882,casetas
68798c739b36b04cf0b7bff5,jalisco,Arenal,076-01,Guadalajara-Tepic,MEX-015D,Ent. Ameca-Magdalena,11058,20.778775,-103.662396,casetas
68798c739b36b04cf0b7bff8,jalisco,Tequila,077,Guadalajara-Tepic,MEX-015D,Tequila-Magdalena,377,20.854262,-103.860959,casetas
68798c739b36b04cf0b7bff9,jalisco,Plan de Barrancas,078,Guadalajara-Tepic,MEX-015D,Magdalena-Ixtlán del Río,14699,21.005434,-104.144062,casetas
68798c739b36b04cf0b7bffa,jalisco,Santa Ma. Del Oro,079-01,Guadalajara-Tepic,MEX-015D,Ixtlán del Río-Tepic,8728,21.328301,-104.664437,casetas
68798c739b36b04cf0b7c000,jalisco,Acatic,083,Zapotlanejo-Lagos de Moreno,MEX-080D,Zapotlanejo-Acatic,685,20.738993,-102.909695,casetas
68798c739b36b04cf0b7c001,jalisco,Tepatitlán,084-01,Zapotlanejo-Lagos de Moreno,MEX-080D,Zapotlanejo-Ent. Arandas,17769,20.824642,-102.79495,casetas
68798c739b36b04cf0b7c004,jalisco,San Miguel el Alto,085,Zapotlanejo-Lagos de Moreno,MEX-080D,Ent. Arandas-San Miguel el Alto,1074,21.031053,-102.554543,casetas
